Gastos medios y distribución porcentual;Quintil de gasto;Códigos de gasto (2 dígitos);Periodo;Total
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2020;510,21
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2019;516,29
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2018;518,88
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2017;536,25
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2016;536,36
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2015;522,22
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2014;509,35
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2013;533,43
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2012;578,11
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2011;605,81
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2010;617,85
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2009;618,11
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2008;612,62
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2007;595,96
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2006;558,84
Gasto medio por hogar;Total;03 Vestido y calzado;2023;1.319,38
Gasto medio por hogar;Total;03 Vestido y calzado;2022;1.231,61
Gasto medio por hogar;Total;03 Vestido y calzado;2021;1.155,97
Gasto medio por hogar;Total;03 Vestido y calzado;2020;1.009,03
Gasto medio por hogar;Total;03 Vestido y calzado;2019;1.417,49
Gasto medio por hogar;Total;03 Vestido y calzado;2018;1.463,11
Gasto medio por hogar;Total;03 Vestido y calzado;2017;1.514,84
Gasto medio por hogar;Total;03 Vestido y calzado;2016;1.451,41
Gasto medio por hogar;Total;03 Vestido y calzado;2015;1.395,27
Gasto medio por hogar;Total;03 Vestido y calzado;2014;1.375,75
Gasto medio por hogar;Total;03 Vestido y calzado;2013;1.348,38
Gasto medio por hogar;Total;03 Vestido y calzado;2012;1.403,1
Gasto medio por hogar;Total;03 Vestido y calzado;2011;1.544,77
Gasto medio por hogar;Total;03 Vestido y calzado;2010;1.654,1
Gasto medio por hogar;Total;03 Vestido y calzado;2009;1.743,99
Gasto medio por hogar;Total;03 Vestido y calzado;2008;1.942,64
Gasto medio por hogar;Total;03 Vestido y calzado;2007;2.075,51
Gasto medio por hogar;Total;03 Vestido y calzado;2006;2.056,19
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2023;10.367,26
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2022;10.242,59
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2021;9.893,03
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2020;9.621,46
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2019;9.441,17
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2018;9.180,75
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2017;8.774,12
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2016;8.705,62
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2015;8.714,49
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2014;8.751,02
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2013;8.968,18
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2012;9.097,94
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2011;9.164,9
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2010;8.880,82
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2009;8.919,89
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2008;8.656,29
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2007;8.140,65
Gasto medio por hogar;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2006;7.551,9
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2023;1.349,33
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2022;1.296,13
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2021;1.286,2
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2020;1.170,34
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2019;1.330,46
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2018;1.371,91
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2017;1.337,58
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2016;1.282,65
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2015;1.164,95
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2014;1.099,99
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2013;1.147,28
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2012;1.239,88
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2011;1.371,88
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2010;1.432,91
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2009;1.525,54
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2008;1.644,3
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2007;1.792,77
Gasto medio por hogar;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2006;1.795,16
Gasto medio por hogar;Total;06 Sanidad;2023;1.242,68
Gasto medio por hogar;Total;06 Sanidad;2022;1.228,27
Gasto medio por hogar;Total;06 Sanidad;2021;1.203,71
Gasto medio por hogar;Total;06 Sanidad;2020;1.000,96
Gasto medio por hogar;Total;06 Sanidad;2019;1.047,71
Gasto medio por hogar;Total;06 Sanidad;2018;1.009,72
Gasto medio por hogar;Total;06 Sanidad;2017;980,39
Gasto medio por hogar;Total;06 Sanidad;2016;966,69
Gasto medio por hogar;Total;06 Sanidad;2015;971,98
Gasto medio por hogar;Total;06 Sanidad;2014;954,74
Gasto medio por hogar;Total;06 Sanidad;2013;869,91
Gasto medio por hogar;Total;06 Sanidad;2012;896,72
Gasto medio por hogar;Total;06 Sanidad;2011;894,71
Gasto medio por hogar;Total;06 Sanidad;2010;932,74
Gasto medio por hogar;Total;06 Sanidad;2009;956,15
Gasto medio por hogar;Total;06 Sanidad;2008;1.009,45
Gasto medio por hogar;Total;06 Sanidad;2007;942,01
Gasto medio por hogar;Total;06 Sanidad;2006;876,34
Gasto medio por hogar;Total;07 Transporte;2023;3.777,71
Gasto medio por hogar;Total;07 Transporte;2022;3.794,37
Gasto medio por hogar;Total;07 Transporte;2021;3.230,17
Gasto medio por hogar;Total;07 Transporte;2020;2.741,47
Gasto medio por hogar;Total;07 Transporte;2019;3.888,03
Gasto medio por hogar;Total;07 Transporte;2018;3.790,21
Gasto medio por hogar;Total;07 Transporte;2017;3.667,29
Gasto medio por hogar;Total;07 Transporte;2016;3.263,58
Gasto medio por hogar;Total;07 Transporte;2015;3.158,07
Gasto medio por hogar;Total;07 Transporte;2014;3.227,06
Gasto medio por hogar;Total;07 Transporte;2013;3.120,6
Gasto medio por hogar;Total;07 Transporte;2012;3.320,84
Gasto medio por hogar;Total;07 Transporte;2011;3.493,51
Gasto medio por hogar;Total;07 Transporte;2010;3.635,72
Gasto medio por hogar;Total;07 Transporte;2009;3.610,69
Gasto medio por hogar;Total;07 Transporte;2008;4.342,94
Gasto medio por hogar;Total;07 Transporte;2007;4.528,97
Gasto medio por hogar;Total;07 Transporte;2006;4.468,46
Gasto medio por hogar;Total;08 Comunicaciones;2023;896,08
Gasto medio por hogar;Total;08 Comunicaciones;2022;924,61
Gasto medio por hogar;Total;08 Comunicaciones;2021;936,62
Gasto medio por hogar;Total;08 Comunicaciones;2020;939,69
Gasto medio por hogar;Total;08 Comunicaciones;2019;946,12
Gasto medio por hogar;Total;08 Comunicaciones;2018;964,01
Gasto medio por hogar;Total;08 Comunicaciones;2017;929,62
Gasto medio por hogar;Total;08 Comunicaciones;2016;882,15
Gasto medio por hogar;Total;08 Comunicaciones;2015;791,98
Gasto medio por hogar;Total;08 Comunicaciones;2014;793,23
Gasto medio por hogar;Total;08 Comunicaciones;2013;823,25
Gasto medio por hogar;Total;08 Comunicaciones;2012;861,3
Gasto medio por hogar;Total;08 Comunicaciones;2011;903,83
Gasto medio por hogar;Total;08 Comunicaciones;2010;920,12
Gasto medio por hogar;Total;08 Comunicaciones;2009;949,58
Gasto medio por hogar;Total;08 Comunicaciones;2008;967,94
Gasto medio por hogar;Total;08 Comunicaciones;2007;927,07
Gasto medio por hogar;Total;08 Comunicaciones;2006;862,7
Gasto medio por hogar;Total;09 Ocio y cultura;2023;1.651,06
Gasto medio por hogar;Total;09 Ocio y cultura;2022;1.534,44
Gasto medio por hogar;Total;09 Ocio y cultura;2021;1.293,6
Gasto medio por hogar;Total;09 Ocio y cultura;2020;1.125,89
Gasto medio por hogar;Total;09 Ocio y cultura;2019;1.653,69
Gasto medio por hogar;Total;09 Ocio y cultura;2018;1.643,16
Gasto medio por hogar;Total;09 Ocio y cultura;2017;1.662,14
Gasto medio por hogar;Total;09 Ocio y cultura;2016;1.593,76
Gasto medio por hogar;Total;09 Ocio y cultura;2015;1.593,08
Gasto medio por hogar;Total;09 Ocio y cultura;2014;1.532,81
Gasto medio por hogar;Total;09 Ocio y cultura;2013;1.536,88
Gasto medio por hogar;Total;09 Ocio y cultura;2012;1.670,3
Gasto medio por hogar;Total;09 Ocio y cultura;2011;1.852,41
Gasto medio por hogar;Total;09 Ocio y cultura;2010;1.945,4
Gasto medio por hogar;Total;09 Ocio y cultura;2009;2.049,23
Gasto medio por hogar;Total;09 Ocio y cultura;2008;2.180,9
Gasto medio por hogar;Total;09 Ocio y cultura;2007;2.218,2
Gasto medio por hogar;Total;09 Ocio y cultura;2006;2.083,41
Gasto medio por hogar;Total;10 Enseñanza;2023;485,8
Gasto medio por hogar;Total;10 Enseñanza;2022;467,57
Gasto medio por hogar;Total;10 Enseñanza;2021;438,59
Gasto medio por hogar;Total;10 Enseñanza;2020;437,28
Gasto medio por hogar;Total;10 Enseñanza;2019;480,59
Gasto medio por hogar;Total;10 Enseñanza;2018;460,66
Gasto medio por hogar;Total;10 Enseñanza;2017;414,22
Gasto medio por hogar;Total;10 Enseñanza;2016;399,05
Gasto medio por hogar;Total;10 Enseñanza;2015;407,42
Gasto medio por hogar;Total;10 Enseñanza;2014;395,86
Gasto medio por hogar;Total;10 Enseñanza;2013;388,73
Gasto medio por hogar;Total;10 Enseñanza;2012;361,33
Gasto medio por hogar;Total;10 Enseñanza;2011;340,46
Gasto medio por hogar;Total;10 Enseñanza;2010;338,62
Gasto medio por hogar;Total;10 Enseñanza;2009;315,97
Gasto medio por hogar;Total;10 Enseñanza;2008;327,17
Gasto medio por hogar;Total;10 Enseñanza;2007;320,54
Gasto medio por hogar;Total;10 Enseñanza;2006;308,19
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2023;3.310,67
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2022;2.953,27
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2021;2.288,09
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2020;1.752,21
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2019;2.944,35
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2018;2.947,56
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2017;3.002,75
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2016;2.780,46
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2015;2.597,01
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2014;2.383,03
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2013;2.299,47
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2012;2.505,62
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2011;2.703,69
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2010;2.747,4
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2009;2.908,93
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2008;3.126,98
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2007;3.295
Gasto medio por hogar;Total;11 Restaurantes y hoteles;2006;3.057,07
Gasto medio por hogar;Total;12 Otros bienes y servicios;2023;2.409,58
Gasto medio por hogar;Total;12 Otros bienes y servicios;2022;2.363,88
Gasto medio por hogar;Total;12 Otros bienes y servicios;2021;2.216,18
Gasto medio por hogar;Total;12 Otros bienes y servicios;2020;2.108,35
Gasto medio por hogar;Total;12 Otros bienes y servicios;2019;2.290,88
Gasto medio por hogar;Total;12 Otros bienes y servicios;2018;2.297,98
Gasto medio por hogar;Total;12 Otros bienes y servicios;2017;2.261,39
Gasto medio por hogar;Total;12 Otros bienes y servicios;2016;2.214,87
Gasto medio por hogar;Total;12 Otros bienes y servicios;2015;2.031,15
Gasto medio por hogar;Total;12 Otros bienes y servicios;2014;2.038,78
Gasto medio por hogar;Total;12 Otros bienes y servicios;2013;2.016,28
Gasto medio por hogar;Total;12 Otros bienes y servicios;2012;2.121,18
Gasto medio por hogar;Total;12 Otros bienes y servicios;2011;2.161,83
Gasto medio por hogar;Total;12 Otros bienes y servicios;2010;2.194,34
Gasto medio por hogar;Total;12 Otros bienes y servicios;2009;2.329,78
Gasto medio por hogar;Total;12 Otros bienes y servicios;2008;2.384,45
Gasto medio por hogar;Total;12 Otros bienes y servicios;2007;2.405,03
Gasto medio por hogar;Total;12 Otros bienes y servicios;2006;2.351,86
Gasto medio por hogar;Quintil 1;Índice general;2023;15.879,55
Gasto medio por hogar;Quintil 1;Índice general;2022;15.573,89
Gasto medio por hogar;Quintil 1;Índice general;2021;14.534,83
Gasto medio por hogar;Quintil 1;Índice general;2020;13.497,6
Gasto medio por hogar;Quintil 1;Índice general;2019;14.324,2
Gasto medio por hogar;Quintil 1;Índice general;2018;14.075,96
Gasto medio por hogar;Quintil 1;Índice general;2017;13.734,1
Gasto medio por hogar;Quintil 1;Índice general;2016;13.429,72
Gasto medio por hogar;Quintil 1;Índice general;2015;13.043,25
Gasto medio por hogar;Quintil 1;Índice general;2014;12.685,49
Gasto medio por hogar;Quintil 1;Índice general;2013;12.999,62
Gasto medio por hogar;Quintil 1;Índice general;2012;13.571,02
Gasto medio por hogar;Quintil 1;Índice general;2011;13.868,78
Gasto medio por hogar;Quintil 1;Índice general;2010;13.844,76
Gasto medio por hogar;Quintil 1;Índice general;2009;14.040,96
Gasto medio por hogar;Quintil 1;Índice general;2008;14.402,46
Gasto medio por hogar;Quintil 1;Índice general;2007;13.361,8
Gasto medio por hogar;Quintil 1;Índice general;2006;12.108,35
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2023;3.333,96
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2022;3.187,63
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2021;3.001,45
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2020;2.983,37
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2019;2.901,76
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2018;2.860,54
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2017;2.788,51
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2016;2.777,27
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2015;2.775,58
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2014;2.645,85
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2013;2.707,59
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2012;2.845,26
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2011;2.894,12
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2010;2.944,84
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2009;3.034,17
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2008;3.141,33
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2007;2.944,1
Gasto medio por hogar;Quintil 1;01 Alimentos y bebidas no alcohólicas;2006;2.637,44
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2023;225,51
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2022;236,08
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2021;237,36
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2020;260,05
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2019;318,86
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2018;311,22
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2017;341,04
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2016;356,92
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2015;334,13
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2014;334,42
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2013;330,31
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2012;385,72
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2011;449,81
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2010;439,35
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2009;422,59
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2008;392,36
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2007;349,34
Gasto medio por hogar;Quintil 1;02 Bebidas alcohólicas y tabaco;2006;327,23
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2023;557,16
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2022;503,71
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2021;445,5
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2020;355,54
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2019;519,75
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2018;522,15
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2017;515,79
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2016;501,7
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2015;487,04
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2014;438,24
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2013;445,61
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2012;493,52
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2011;546
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2010;547,66
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2009;591,79
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2008;656,04
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2007;629,94
Gasto medio por hogar;Quintil 1;03 Vestido y calzado;2006;617,04
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2023;6.747,73
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2022;6.640,44
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2021;6.339,99
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2020;5.944,75
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2019;5.792,81
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2018;5.631,7
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2017;5.437,24
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2016;5.385,59
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2015;5.351,87
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2014;5.355,57
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2013;5.460,89
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2012;5.533,16
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2011;5.461,5
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2010;5.358,01
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2009;5.304,7
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2008;5.234,55
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2007;4.909,9
Gasto medio por hogar;Quintil 1;04 Vivienda, agua, electricidad, gas y otros combustibles;2006;4.457,38
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2023;496,49
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2022;464,8
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2021;457,17
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2020;423,22
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2019;465,56
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2018;444,39
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2017;439,66
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2016;407,5
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2015;361,68
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2014;344,71
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2013;337,2
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2012;381,98
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2011;418,49
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2010;423,61
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2009;463,36
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2008;526,49
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2007;519,04
Gasto medio por hogar;Quintil 1;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2006;451,21
Gasto medio por hogar;Quintil 1;06 Sanidad;2023;392,45
Gasto medio por hogar;Quintil 1;06 Sanidad;2022;402,74
Gasto medio por hogar;Quintil 1;06 Sanidad;2021;400,7
Gasto medio por hogar;Quintil 1;06 Sanidad;2020;334,83
Gasto medio por hogar;Quintil 1;06 Sanidad;2019;359,11
Gasto medio por hogar;Quintil 1;06 Sanidad;2018;326,06
Gasto medio por hogar;Quintil 1;06 Sanidad;2017;308,78
Gasto medio por hogar;Quintil 1;06 Sanidad;2016;309,63
Gasto medio por hogar;Quintil 1;06 Sanidad;2015;270,37
Gasto medio por hogar;Quintil 1;06 Sanidad;2014;244,66
Gasto medio por hogar;Quintil 1;06 Sanidad;2013;235,01
Gasto medio por hogar;Quintil 1;06 Sanidad;2012;224,7
